asset_id,relative_path,filename,file_size,sha256,width,height,decodable,document_title,document_id,page,section,figure_number,figure_title,family,model,order_number,visual_type,source,verified,qualified,rejection_reasons
ASSET_0046,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00188.jpg,page_00188.jpg,133644,83b73a5cb8959b2895f8de0cc2efce4c59b14cca1fa9229983df9fdf88cb07b7,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,188,基本信息 > 自动化系统 > 7 安装 > 7.7 安装接口模块,,,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0047,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00193.jpg,page_00193.jpg,209686,11795a9158a6715fe52bbeb36c786b2ac9e52d2016e7e4a7ca322ed67a33e990,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,193,基本信息 > 自动化系统 > 8 接线 > 8.1 操作规则和规定,,,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0048,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00194.jpg,page_00194.jpg,263603,3906089f057e81aa2dd9bcf0ef2cc90d10f2bbe19a6dca9be3f14e34e53a358f,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,194,基本信息 > 自动化系统 > 8 接线 > 8.2 有关操作带有故障安全模块的 S7-1500/ET 200MP 的更多规则和规定 > 8.2.1 适用于故障安全模块的安全超低电压（SELV、PELV）,,,ET 200MP,ET 200MP,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0049,safeplc_assist_box/frontend/assets/demo_evidence_150/safety/page_00195.jpg,page_00195.jpg,211188,20ee9e4529d9abfb76a55a9d3beedd19e86f038dc5c8cccd1dbf4f19921cd58c,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,195,基本信息 > 自动化系统 > 8 接线 > 8.2 有关操作带有故障安全模块的 S7-1500/ET 200MP 的更多规则和规定 > 8.2.2 故障安全模块的传感器和执行器要求,,,ET 200MP,ET 200MP,unknown,safety_risk_page,real_manual_page,True,True,
ASSET_0050,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00197.jpg,page_00197.jpg,200366,5a6c27282f5ec74927b1c335cbc5865d53f055df68c4005aecadcd99193ac935,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,197,基本信息 > 自动化系统 > 8 接线 > 8.3 通过接地馈电系统运行,,,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0051,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00198.jpg,page_00198.jpg,154690,96ea6f5a183e2731d1abd6c7c9291f61942fc3d35b5cecfa2b0ddc27da84b843,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,198,基本信息 > 自动化系统 > 8 接线 > 8.3 通过接地馈电系统运行,,,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0052,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00199.jpg,page_00199.jpg,115377,49761a9ec58917aae002ee4e5cfad38c57c50dba2e2cdc2543514fb8d07ec24d,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,199,基本信息 > 自动化系统 > 8 接线 > 8.3 通过接地馈电系统运行,图 1-59,参考电位接地时，S7‑1500/ET 200MP 的操作方式,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0053,safeplc_assist_box/frontend/assets/demo_evidence_150/wiring_terminal/page_00202.jpg,page_00202.jpg,174601,d720c73c5a0fe4097a12809ec4ff59ab057a1bb21f2bc9e830109d6b4526ef08,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,202,基本信息 > 自动化系统 > 8 接线 > 8.5 接线规则,,,unknown,unknown,unknown,wiring_or_terminal_page,real_manual_page,True,True,
ASSET_0054,safeplc_assist_box/frontend/assets/demo_evidence_150/wiring_terminal/page_00203.jpg,page_00203.jpg,207297,3392932d793b636ed487fbbf9878461ecd2abb32963b2b955417420d72f3c64a,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,203,基本信息 > 自动化系统 > 8 接线 > 8.5 接线规则,,,unknown,unknown,unknown,wiring_or_terminal_page,real_manual_page,True,True,
ASSET_0055,safeplc_assist_box/frontend/assets/demo_evidence_150/wiring_terminal/page_00204.jpg,page_00204.jpg,196329,b8b7c50e3684989e59dc8c62d54eee7e6bd8511de760f1101713cc40391e153e,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,204,基本信息 > 自动化系统 > 8 接线 > 8.5 接线规则,,,unknown,unknown,6ES7592-1AM00-0XB0,wiring_or_terminal_page,real_manual_page,True,True,
